1500
'011084',1889,1,.,. 
'011084',1889,2,.,. 
'011084',1889,3,.,. 
'011084',1889,4,.,. 
'011084',1889,5,.,. 
'011084',1889,6,.,. 
'011084',1889,7,82.3,70.1 
'011084',1889,8,79.2,66.4 
'011084',1889,9,77.6,63.3 
'011084',1889,10,.,. 
'011084',1889,11,.,. 
'011084',1889,12,63.1,49.3 
'011084',1890,1,61.7,49.6 
'011084',1890,2,62.6,49.2 
'011084',1890,3,58,44.7 
'011084',1890,4,68.1,54.9 
'011084',1890,5,72.8,59 
'011084',1890,6,.,. 
'011084',1890,7,82,70.1 
'011084',1890,8,79.9,67.5 
'011084',1890,9,76.7,65 
'011084',1890,10,.,51.2 
'011084',1890,11,.,44.9 
'011084',1890,12,.,40.6 
'011084',1891,1,50.1,37.5 
'011084',1891,2,61.3,48.8 
'011084',1891,3,.,45.5 
'011084',1891,4,67,52.8 
'011084',1891,5,72.3,57.1 
'011084',1891,6,81.4,67.6 
'011084',1891,7,.,. 
'011084',1891,8,80.6,69.6 
'011084',1891,9,76.3,65 
'011084',1891,10,63.1,48.4 
'011084',1891,11,56.1,40.5 
'011084',1891,12,54.6,44.1 
'011084',1892,1,46.5,34.4 
'011084',1892,2,57.1,45.6 
'011084',1892,3,.,. 
'011084',1892,4,.,. 
'011084',1892,5,75.5,60.9 
'011084',1892,6,80.7,67.6 
'011084',1892,7,80.2,70.3 
'011084',1892,8,82.9,69.9 
'011084',1892,9,75.5,62.9 
'011084',1892,10,66.2,51.5 
'011084',1892,11,57.4,43.2 
'011084',1892,12,51.3,40.7 
'011084',1893,1,46.1,33 
'011084',1893,2,57.5,45.3 
'011084',1893,3,58.7,46 
'011084',1893,4,70.4,58.5 
'011084',1893,5,74,62.9 
'011084',1893,6,78.8,68.1 
'011084',1893,7,83.1,71.8 
'011084',1893,8,80.8,69.2 
'011084',1893,9,77.8,66.5 
'011084',1893,10,64.3,50.3 
'011084',1893,11,57.1,42.6 
'011084',1893,12,53.2,40.2 
'011084',1894,1,54.2,42 
'011084',1894,2,52.3,39.5 
'011084',1894,3,63,50.7 
'011084',1894,4,68.7,56.2 
'011084',1894,5,73.5,61.4 
'011084',1894,6,79.1,66.7 
'011084',1894,7,79.5,69.3 
'011084',1894,8,79.9,69.8 
'011084',1894,9,77.8,67.1 
'011084',1894,10,65.4,51.5 
'011084',1894,11,56,39.2 
'011084',1894,12,53.8,39.8 
'011084',1895,1,49.7,38.9 
'011084',1895,2,44,31.3 
'011084',1895,3,60.9,47.5 
'011084',1895,4,69,55 
'011084',1895,5,73,60.9 
'011084',1895,6,79.4,68.2 
'011084',1895,7,81.3,71.1 
'011084',1895,8,81.4,71.2 
'011084',1895,9,80.5,68.8 
'011084',1895,10,63.3,48.3 
'011084',1895,11,57.6,42.7 
'011084',1895,12,50.1,37 
'011084',1896,1,49.4,38.4 
'011084',1896,2,53.1,38.9 
'011084',1896,3,59.3,46.6 
'011084',1896,4,72.1,57.8 
'011084',1896,5,80.6,67.7 
'011084',1896,6,80.8,69.1 
'011084',1896,7,83.1,72.2 
'011084',1896,8,83.9,71.1 
'011084',1896,9,78,66.6 
'011084',1896,10,66.5,53.2 
