Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
State_id  ,YEAR  ,Month  ,PRECIP (in),TMAX (F),TMEAN (F),TMIN (F) 
'050848',1953,7,2.84,86.8,72.7,58.5 
'050848',1953,8,1.07,85,70.4,55.8 
'050848',1953,9,0.01,82.1,66.3,50.4 
'050848',1953,10,0.56,68.3,54.3,40.3 
'050848',1953,11,1.14,55.3,42.5,29.7 
'050848',1953,12,1.17,44.7,32.1,19.4 
'050848',1954,1,0.48,50.9,36.3,21.7 
'050848',1954,2,0.25,58.7,44.1,29.5 
'050848',1954,3,1.16,46.6,33.8,20.9 
'050848',1954,4,0.83,68.5,52.4,36.3 
'050848',1954,5,1.33,69.4,55,40.5 
'050848',1954,6,1.16,84.6,68.3,51.9 
'050848',1954,7,1.73,90.4,75.2,60 
'050848',1954,8,0.83,86.1,71.8,57.4 
'050848',1954,9,1.37,78.3,64.5,50.7 
'050848',1954,10,0.42,65.4,50.4,35.3 
'050848',1954,11,0.67,57,43.9,30.8 
'050848',1954,12,0.68,50.4,36.2,22 
'050848',1955,1,0.39,39.9,27.5,15.1 
'050848',1955,2,1.41,39.8,26.4,12.9 
'050848',1955,3,2.14,48.9,34.9,20.9 
'050848',1955,4,0.22,64.5,49.3,34.1 
'050848',1955,5,2.49,71.4,57.5,43.5 
'050848',1955,6,1.88,76.1,61.9,47.6 
'050848',1955,7,1.33,88.8,73.5,58.2 
'050848',1955,8,1.5,85.1,71.8,58.4 
'050848',1955,9,1.05,77.5,63.1,48.6 
'050848',1955,10,0.56,69.3,53.7,38 
'050848',1955,11,1.42,49.2,35.3,21.4 
'050848',1955,12,0.86,47.1,33.5,19.9 
'050848',1956,1,0.41,45.8,33.9,21.9 
'050848',1956,2,1.53,39.4,27.4,15.3 
'050848',1956,3,1.59,53.5,39.3,25 
'050848',1956,4,1.46,59.5,45.8,32 
'050848',1956,5,3.67,72.9,58.7,44.5 
'050848',1956,6,1.9,87.3,71.7,56.1 
'050848',1956,7,2.5,85.1,71.1,57 
'050848',1956,8,2.24,82.6,68.8,55 
'050848',1956,9,0.02,81.7,65.9,50 
'050848',1956,10,0.5,70.5,55.1,39.7 
'050848',1956,11,1.83,51.5,37.5,23.4 
'050848',1956,12,0.8,49.1,36.1,23.1 
'050848',1957,1,1.05,36.5,24.5,12.5 
'050848',1957,2,1.28,52.4,39.5,26.6 
'050848',1957,3,0.63,51.1,38.1,25.1 
'050848',1957,4,6.85,52.8,41.3,29.8 
'050848',1957,5,9.27,63.7,52.4,41.1 
'050848',1957,6,0.93,79,64.6,50.2 
'050848',1957,7,0.92,86.2,72.5,58.7 
'050848',1957,8,1.97,85.6,71.4,57.1 
'050848',1957,9,0.85,75.5,60.3,45.1 
'050848',1957,10,2.48,62.6,51.3,39.9 
'050848',1957,11,1.12,48,36.3,24.5 
'050848',1957,12,0.08,53.6,39.9,26.1 
'050848',1958,1,0.74,46.2,33.4,20.5 
'050848',1958,2,0.53,49.3,37,24.7 
'050848',1958,3,2.8,40.7,31,21.2 
'050848',1958,4,3.19,54.6,43.2,31.7 
'050848',1958,5,4.17,74.3,60.6,46.9 
'050848',1958,6,2.05,81.8,67.1,52.3 
'050848',1958,7,1.99,82.1,68.6,55.1 
'050848',1958,8,0.82,85.9,72.5,59.1 
'050848',1958,9,1.05,77.8,63.2,48.6 
'050848',1958,10,0.56,68.4,53.8,39.2 
'050848',1958,11,0.63,54.2,39.9,25.5 
'050848',1958,12,0.75,46.5,34.8,23 
'050848',1959,1,1.01,42.7,30,17.2 
'050848',1959,2,1.29,39.8,29,18.2 
'050848',1959,3,1.91,50.7,37.9,25.1 
'050848',1959,4,2.08,57.3,44.4,31.5 
'050848',1959,5,3.73,66.9,54.7,42.4 
'050848',1959,6,0.64,82.7,68.3,53.8 
'050848',1959,7,0.82,84.5,69.7,54.8 
'050848',1959,8,1.35,84.6,70.7,56.8 
'050848',1959,9,3.01,72,57.8,43.5 
'050848',1959,10,2.18,61.3,47.2,33.1 
'050848',1959,11,0.72,53.2,37.9,22.5 
'050848',1959,12,0.11,49.1,36.5,23.8 
'050848',1960,1,0.54,40.5,28.7,16.8 
'050848',1960,2,0.85,35.9,25.8,15.6 
'050848',1960,3,0.72,49.8,37.7,25.6 
'050848',1960,4,1.9,63.1,49.7,36.3 
'050848',1960,5,3.79,70.2,57.2,44.1 
'050848',1960,6,1.03,82.7,68.7,54.6 
'050848',1960,7,1.28,85.3,72.4,59.4 
'050848',1960,8,0.41,86,71.6,57.2 
'050848',1960,9,0.67,77.8,63.8,49.7 
'050848',1960,10,2.38,65.2,52.1,39 
'050848',1960,11,0.27,55,41.2,27.3 
'050848',1960,12,1.27,45,32.9,20.8 
'050848',1961,1,0.43,47.5,34.3,21 
'050848',1961,2,0.7,49.6,37.3,25 
'050848',1961,3,2.68,48.4,37.5,26.5 
'050848',1961,4,0.73,59.1,45.6,32.1 
'050848',1961,5,3.7,69,56.5,43.9 
'050848',1961,6,2.17,78,65.3,52.6 
'050848',1961,7,2.31,83.9,70.7,57.5 
'050848',1961,8,2.06,83.1,70.2,57.3 
'050848',1961,9,4.89,67.8,54.9,41.9 
'050848',1961,10,1.04,63.8,50.4,37 
'050848',1961,11,1.25,47.1,35.2,23.3 
'050848',1961,12,0.43,39.1,27.7,16.3 
'050848',1962,1,1.52,36.6,22.7,8.7 
'050848',1962,2,0.82,43.7,32.1,20.5 
'050848',1962,3,0.48,47,34.5,22 
'050848',1962,4,0.99,63.9,50.2,36.5 
'050848',1962,5,1.99,71.8,59.1,46.4 
'050848',1962,6,2.25,77.3,64.2,51 
'050848',1962,7,2.16,83.9,69.9,55.8 
'050848',1962,8,0.19,85.8,70.8,55.7 
'050848',1962,9,0.28,75,61,46.9 
'050848',1962,10,1.09,69,55.1,41.2 
'050848',1962,11,0.84,56.4,43.1,29.8 
'050848',1962,12,0.16,48.5,35.3,22.1 
'050848',1963,1,0.96,34.4,20.9,7.3 
'050848',1963,2,0.4,50.4,38.3,26.2 
'050848',1963,3,1.81,51.2,38.6,26 
'050848',1963,4,0.15,62.8,49.3,35.8 
'050848',1963,5,1.37,74.4,60,45.6 
'050848',1963,6,4.62,81,67.6,54.1 
'050848',1963,7,0.69,88.6,74.8,61 
'050848',1963,8,2.34,80.2,68.7,57.1 
'050848',1963,9,2.96,78.7,65.7,52.7 
'050848',1963,10,0.34,70.3,57.7,45 
'050848',1963,11,0.7,55.5,41.4,27.2 
'050848',1963,12,0.61,44.1,30.7,17.3 
'050848',1964,1,0.43,45,32.8,20.6 
'050848',1964,2,0.65,41.2,29.4,17.6 
'050848',1964,3,1.48,46.6,33.7,20.7 
'050848',1964,4,0.86,59.9,46.2,32.5 
'050848',1964,5,2.27,71.3,58.6,45.9 
'050848',1964,6,1.27,76.6,64.1,51.6 
'050848',1964,7,2.02,88.9,74.8,60.7 
'050848',1964,8,0.33,82.9,69.1,55.3 
'050848',1964,9,0.36,76.4,61.8,47.1 
'050848',1964,10,0.28,68,53.4,38.7 
'050848',1964,11,0.64,51,39.1,27.2 
'050848',1964,12,0.88,45,33.5,21.9 
'050848',1965,1,0.73,47.4,35.8,24.1 
'050848',1965,2,1.19,43.4,30.1,16.8 
'050848',1965,3,2.11,40.8,28.3,15.7 
'050848',1965,4,2.38,62,49.5,36.9 
'050848',1965,5,1.42,69.5,56.1,42.7 
'050848',1965,6,2.49,75.6,64.1,52.6 
'050848',1965,7,5.2,83.8,70.8,57.7 
'050848',1965,8,0.23,81.3,68.4,55.5 
'050848',1965,9,2.84,66,53.3,40.6 
'050848',1965,10,0.18,70.1,55.5,40.8 
'050848',1965,11,0.26,56,43,30 
'050848',1965,12,0.44,48.2,36,23.7 
'050848',1966,1,0.2,42.3,28.8,15.3 
'050848',1966,2,1.33,41.3,28.7,16.1 
'050848',1966,3,0.31,58,43.7,29.4 
'050848',1966,4,1.21,59.9,46,32 
'050848',1966,5,0.8,75.3,61.1,46.8 
'050848',1966,6,1.54,78.8,65.2,51.5 
'050848',1966,7,0.92,88.8,75.5,62.1 
'050848',1966,8,0.75,82.8,69.3,55.7 
'050848',1966,9,2.71,75.4,61.9,48.3 
'050848',1966,10,0.6,66.6,51.2,35.7 
'050848',1966,11,0.49,53.8,40.5,27.1 
'050848',1966,12,0.27,43.9,31.6,19.2 
'050848',1967,1,0.61,46.9,34,21 
'050848',1967,2,0.49,49,35.3,21.6 
'050848',1967,3,0.82,58.2,43.9,29.5 
'050848',1967,4,2.1,63.2,48.4,33.6 
'050848',1967,5,4.46,65.1,53,40.9 
'050848',1967,6,4.98,71.3,59.9,48.4 
'050848',1967,7,2.97,83,70.8,58.5 
'050848',1967,8,3.94,81.2,68.3,55.3 
'050848',1967,9,1.02,75.1,61.2,47.3 
'050848',1967,10,1.58,67.9,53.2,38.4 
'050848',1967,11,0.73,52,38.8,25.5 
'050848',1967,12,1.19,37.5,25.6,13.7 
'050848',1968,1,0.18,44.2,31.1,17.9 
'050848',1968,2,0.99,45.7,34,22.2 
'050848',1968,3,0.97,55.1,42,28.9 
'050848',1968,4,1.73,56.2,43.2,30.2 
'050848',1968,5,2.27,66.4,53.2,40 
'050848',1968,6,2.36,82.3,67.3,52.3 
'050848',1968,7,1.03,83.6,70.4,57.2 
'050848',1968,8,3.46,81,67.7,54.4 
'050848',1968,9,1.39,75.8,60.7,45.5 
'050848',1968,10,0.54,67.7,52.8,37.9 
'050848',1968,11,0.86,47.2,35.8,24.3 
'050848',1968,12,0.41,42.5,30.1,17.7 
'050848',1969,1,0.29,46.9,33.7,20.4 
'050848',1969,2,0.22,46.4,34,21.6 
'050848',1969,3,0.53,44.9,32.2,19.4 
'050848',1969,4,1.14,64.9,51.4,37.8 
'050848',1969,5,8.66,71.7,58.9,46.1 
'050848',1969,6,5.34,71.1,59.9,48.6 
'050848',1969,7,2.75,86.7,73.1,59.5 
'050848',1969,8,0.73,86.3,72,57.7 
'050848',1969,9,0.76,77.6,63.6,49.6 
'050848',1969,10,5.39,50.5,39.4,28.3 
'050848',1969,11,0.92,51.8,39.1,26.3 
'050848',1969,12,0.79,45.2,33.8,22.4 
'050848',1970,1,0.1,43.2,31.3,19.3 
'050848',1970,2,0.03,52.8,38.3,23.8 
'050848',1970,3,3.86,45.9,34.2,22.5 
'050848',1970,4,0.63,55.6,42.6,29.5 
'050848',1970,5,1.17,73.3,59.2,45.1 
'050848',1970,6,2.61,78.2,64.9,51.5 
'050848',1970,7,1.35,86.1,72.3,58.4 
'050848',1970,8,0.2,86.1,72.3,58.5 
'050848',1970,9,3.83,72.8,58.4,43.9 
'050848',1970,10,1.09,58.9,45.9,32.9 
'050848',1970,11,1.6,50.8,38.6,26.4 
'050848',1970,12,0.18,46,33.5,20.9 
'050848',1971,1,0.51,43.8,32.5,21.1 
'050848',1971,2,1.36,42.8,31.3,19.8 
'050848',1971,3,0.78,51.4,38.7,25.9 
'050848',1971,4,6.01,58.9,46.4,33.8 
'050848',1971,5,2,65.2,53.2,41.1 
'050848',1971,6,0.41,82.3,67.9,53.4 
'050848',1971,7,1.37,84.7,70.6,56.4 
'050848',1971,8,0.1,84.8,71.1,57.3 
'050848',1971,9,4.21,70.9,57.3,43.7 
'050848',1971,10,0.72,62,49.4,36.7 
'050848',1971,11,0.56,51.8,39.5,27.1 
'050848',1971,12,0.66,43.2,31.4,19.5 
'050848',1972,1,1.15,44.6,31.1,17.6 
'050848',1972,2,0.44,51,38.6,26.2 
'050848',1972,3,0.68,58.9,45.9,32.9 
'050848',1972,4,1.52,60.5,48.1,35.6 
'050848',1972,5,1.22,68.3,55.6,42.8 
'050848',1972,6,3.66,80.6,66.9,53.1 
'050848',1972,7,2.24,83.8,68.9,54 
'050848',1972,8,1.79,81.6,67.9,54.2 
'050848',1972,9,1.18,73.8,60.4,47 
'050848',1972,10,1.26,63.5,50.2,36.9 
'050848',1972,11,2.15,43.1,32.3,21.4 
'050848',1972,12,1.14,38.9,26.4,13.9 
'050848',1973,1,1.09,39.5,27.6,15.7 
'050848',1973,2,0.17,45.2,33.3,21.3 
'050848',1973,3,1.74,48.3,37.4,26.4 
'050848',1973,4,4.42,53.7,41.6,29.4 
'050848',1973,5,4.88,67.4,54.6,41.7 
'050848',1973,6,0.48,81,66.6,52.2 
'050848',1973,7,1.14,82.9,69,55.1 
'050848',1973,8,0.32,86.6,71.6,56.6 
'050848',1973,9,2.31,71.1,57.8,44.4 
'050848',1973,10,0.69,68.2,53.5,38.8 
'050848',1973,11,1.84,49.4,37.9,26.3 
'050848',1973,12,1.13,45.3,33.7,22.1 
'050848',1974,1,0.9,40.1,27.1,14.1 
'050848',1974,2,1.07,49.2,35.8,22.3 
'050848',1974,3,1.22,57.4,42.4,27.4 
'050848',1974,4,3.07,59,46.1,33.1 
'050848',1974,5,0,75.1,60,44.8 
'050848',1974,6,2.08,81.7,66.8,51.9 
'050848',1974,7,0.51,87,72.3,57.6 
'050848',1974,8,0.37,81.9,67.6,53.2 
'050848',1974,9,2.13,73,58.6,44.2 
'050848',1974,10,2.24,65.6,52.9,40.1 
'050848',1974,11,1.06,50,38.2,26.3 
'050848',1974,12,0.46,42.2,31.2,20.2 
'050848',1975,1,0.45,43.8,31.5,19.1 
'050848',1975,2,0.88,44.3,31.3,18.2 
'050848',1975,3,1.23,49.8,37.7,25.6 
'050848',1975,4,2.85,55.9,43.1,30.3 
'050848',1975,5,4.33,65.9,53.5,41 
'050848',1975,6,2.01,76.9,63.1,49.2 
'050848',1975,7,1.67,85.7,71.2,56.6 
'050848',1975,8,1.31,84.8,70.1,55.3 
'050848',1975,9,1.06,72.8,59.2,45.5 
'050848',1975,10,0.68,68.9,53.7,38.5 
'050848',1975,11,1.2,49.6,37.6,25.5 
'050848',1975,12,0.57,48.2,36.5,24.8 
'050848',1976,1,0.42,44.4,30.9,17.4 
'050848',1976,2,0.34,51.9,39.9,27.8 
'050848',1976,3,1.19,50,36.9,23.8 
'050848',1976,4,1.99,59.9,47.7,35.4 
'050848',1976,5,2.14,67.8,55.1,42.4 
'050848',1976,6,1.25,80.3,65.1,49.8 
'050848',1976,7,1.62,87.1,72.2,57.3 
'050848',1976,8,1.43,82.9,68.6,54.3 
'050848',1976,9,2.73,71.8,59.2,46.5 
'050848',1976,10,1.02,62.6,48.1,33.5 
'050848',1976,11,0.21,50.1,37.6,25.1 
'050848',1976,12,0.32,48.5,35.1,21.7 
'050848',1977,1,0.08,40.6,26.6,12.6 
'050848',1977,2,0.45,49.6,37.4,25.2 
'050848',1977,3,0.53,51.6,37.9,24.2 
'050848',1977,4,3.32,60.9,48,35 
'050848',1977,5,0.93,72.6,58.3,43.9 
'050848',1977,6,0.66,84.9,70,55 
'050848',1977,7,4.75,86.8,72.7,58.6 
'050848',1977,8,1.48,80.6,67.5,54.4 
'050848',1977,9,0.15,79.3,63.9,48.5 
'050848',1977,10,0.4,67.4,52.5,37.5 
'050848',1977,11,0.61,51.8,39.9,27.9 
'050848',1977,12,0.13,48.2,36.5,24.8 
'050848',1978,1,1.02,36.9,25.6,14.3 
'050848',1978,2,0.33,38.1,28.2,18.3 
'050848',1978,3,1.06,54.5,41.7,28.9 
'050848',1978,4,3.77,60.7,47.7,34.7 
'050848',1978,5,8.03,67.8,54.5,41.2 
'050848',1978,6,1.65,78.6,64.5,50.4 
'050848',1978,7,1.55,86.8,72.1,57.4 
'050848',1978,8,1.57,82.8,67.9,52.9 
'050848',1978,9,0.57,78.1,63,47.9 
'050848',1978,10,2.46,66.9,52.3,37.6 
'050848',1978,11,0.2,49.6,38.2,26.7 
'050848',1978,12,1.61,38.1,26.2,14.3 
'050848',1979,1,0.59,33,20.7,8.3 
'050848',1979,2,0.06,47.8,34.5,21.1 
'050848',1979,3,2.57,51.5,40.7,29.8 
'050848',1979,4,2.21,61,48.2,35.3 
'050848',1979,5,6.67,65.2,53.3,41.3 
'050848',1979,6,3.02,78.4,64.2,50 
'050848',1979,7,1.69,86.3,71.6,56.8 
'050848',1979,8,1.77,78.5,66.3,54 
'050848',1979,9,0.57,78,63,47.9 
'050848',1979,10,1.35,68.3,54.4,40.4 
'050848',1979,11,2,44.1,33,21.9 
'050848',1979,12,1.7,49.7,37,24.3 
'050848',1980,1,0.99,38.1,27.5,16.9 
'050848',1980,2,0.8,46.5,34.5,22.5 
'050848',1980,3,1.18,48.7,37,25.2 
'050848',1980,4,2.17,58.6,45.8,33 
'050848',1980,5,2.48,66,53.8,41.6 
'050848',1980,6,0.32,86.7,70,53.3 
'050848',1980,7,1.5,88.3,73.1,57.9 
'050848',1980,8,0.92,84.5,70.3,56 
'050848',1980,9,1.18,78.4,63.8,49.1 
'050848',1980,10,0.6,64.5,50.8,37.1 
'050848',1980,11,1.14,53.7,41.8,29.8 
'050848',1980,12,0.17,54.6,42.2,29.8 
'050848',1981,1,0.19,49.5,37,24.5 
'050848',1981,2,0.37,51.1,37.4,23.6 
'050848',1981,3,2.31,52.3,40.3,28.3 
'050848',1981,4,1.16,68.3,54.8,41.2 
'050848',1981,5,4.47,64.2,53.4,42.5 
'050848',1981,6,1.75,82.1,67.4,52.6 
'050848',1981,7,1.97,85,70.1,55.2 
'050848',1981,8,1.2,79.9,67.1,54.2 
'050848',1981,9,1.45,76,62.6,49.1 
'050848',1981,10,1.28,60.1,48.9,37.7 
'050848',1981,11,0.21,54.5,43.9,33.3 
'050848',1981,12,0.55,45.6,35,24.3 
'050848',1982,1,0.02,44.6,31.8,18.9 
'050848',1982,2,0.29,46.9,33.6,20.3 
'050848',1982,3,0.61,54.8,42,29.1 
'050848',1982,4,0.33,62.7,48.2,33.7 
'050848',1982,5,4.65,66.5,54.2,41.8 
'050848',1982,6,1.71,73.4,60.6,47.7 
'050848',1982,7,3.45,83.6,70.3,56.9 
'050848',1982,8,2.72,83.7,71,58.3 
'050848',1982,9,4.36,70.2,59.5,48.7 
'050848',1982,10,1.43,61.2,48.8,36.3 
'050848',1982,11,1.1,47.3,35.5,23.7 
'050848',1982,12,1.52,44,33.3,22.6 
'050848',1983,1,0.07,46.1,35,23.8 
'050848',1983,2,0.23,48.2,36.9,25.6 
'050848',1983,3,4.6,48.5,38.9,29.3 
'050848',1983,4,2.88,52.5,41.5,30.5 
'050848',1983,5,5.54,61.8,50.6,39.4 
'050848',1983,6,2.55,74.1,60.7,47.3 
'050848',1983,7,2.84,84.7,70.9,57.1 
'050848',1983,8,0.78,88,73.4,58.7 
'050848',1983,9,0.38,79.5,63.4,47.3 
'050848',1983,10,0.3,66.5,51.4,36.2 
'050848',1983,11,3.46,48.3,37,25.7 
'050848',1983,12,0.88,28.8,18.7,8.6 
'050848',1984,1,0.55,40.7,27.9,15.1 
'050848',1984,2,0.8,47.3,34.5,21.7 
'050848',1984,3,2.66,48.6,37.3,26 
'050848',1984,4,2.29,53.7,41.8,29.8 
'050848',1984,5,0.45,73.7,58.8,43.9 
'050848',1984,6,1.85,78,64.1,50.2 
'050848',1984,7,1.67,86.9,72.2,57.5 
'050848',1984,8,2.57,83.4,70.1,56.8 
'050848',1984,9,1.01,73.2,59.2,45.1 
'050848',1984,10,4.25,55,43.9,32.7 
'050848',1984,11,0.01,52.7,39.1,25.5 
'050848',1984,12,0.43,45.7,32.7,19.6 
'050848',1985,1,0.99,37.9,25.7,13.4 
'050848',1985,2,0.89,41,27.8,14.6 
'050848',1985,3,1.43,53.2,39.9,26.6 
'050848',1985,4,1.82,63.1,50.6,38 
'050848',1985,5,1.37,71.7,58.3,44.8 
'050848',1985,6,1.91,78.9,65.9,52.8 
'050848',1985,7,1.99,83.1,70.5,57.9 
'050848',1985,8,0.03,84.8,70,55.2 
'050848',1985,9,2.86,68.8,56.7,44.6 
'050848',1985,10,1.07,62.8,49.2,35.6 
'050848',1985,11,1.95,38.5,29,19.4 
'050848',1985,12,1.13,41.3,30.2,19 
'050848',1986,1,0.09,54.4,41.1,27.7 
'050848',1986,2,1.04,46.8,35.6,24.4 
'050848',1986,3,0.61,59.4,46.9,34.3 
'050848',1986,4,4.88,61.2,48.8,36.3 
'050848',1986,5,2.62,68.4,55.2,41.9 
'050848',1986,6,1.68,80.9,67.5,54.1 
'050848',1986,7,1.94,83.7,70.1,56.4 
'050848',1986,8,0.67,82.3,69.1,55.8 
'050848',1986,9,1.15,69.6,57.5,45.4 
'050848',1986,10,3.66,61,48.5,36 
'050848',1986,11,2.37,50.5,38.9,27.2 
'050848',1986,12,0.64,42.4,31.6,20.8 
'050848',1987,1,1.17,42.9,32.3,21.7 
'050848',1987,2,2.44,45.4,35,24.6 
'050848',1987,3,2.42,49.7,37.8,25.9 
'050848',1987,4,2.55,65.1,50.8,36.5 
'050848',1987,5,2.12,68.9,57.2,45.5 
'050848',1987,6,6.04,80.9,66.9,52.9 
'050848',1987,7,1.26,86,71.2,56.3 
'050848',1987,8,1.99,80.3,67.3,54.3 
'050848',1987,9,1.13,74.1,59.7,45.3 
'050848',1987,10,0.94,65.3,51,36.7 
'050848',1987,11,1.79,50.2,39,27.7 
'050848',1987,12,1.97,39.1,28.9,18.7 
'050848',1988,1,0.4,38.2,27,15.7 
'050848',1988,2,1.14,46.8,33.8,20.8 
'050848',1988,3,2.53,51.4,39,26.5 
'050848',1988,4,1.48,63.6,49.7,35.7 
'050848',1988,5,3.7,70.7,57.5,44.3 
'050848',1988,6,0.7,83,69.3,55.6 
'050848',1988,7,0.71,85.8,71.2,56.6 
'050848',1988,8,1.33,84.3,70.2,56.1 
'050848',1988,9,2.02,74.3,60.3,46.3 
'050848',1988,10,0.03,67.2,53,38.8 
'050848',1988,11,0.75,51.4,39.6,27.7 
'050848',1988,12,2.16,42.8,30.9,18.9 
'050848',1989,1,1.19,46.8,34.5,22.2 
'050848',1989,2,1.27,32.6,22.1,11.6 
'050848',1989,3,0.97,57.3,43,28.7 
'050848',1989,4,1.95,62.1,49.3,36.5 
'050848',1989,5,2.68,71.2,57.5,43.7 
'050848',1989,6,2.93,75.8,62.6,49.3 
'050848',1989,7,1.43,86.9,71.7,56.4 
'050848',1989,8,0.81,82.1,68.5,54.9 
'050848',1989,9,2.16,73.6,60.2,46.7 
'050848',1989,10,0.57,64.9,50.7,36.4 
'050848',1989,11,0.37,55.8,41.8,27.7 
'050848',1989,12,0.79,40.6,28.2,15.8 
'050848',1990,1,0.63,48.3,36.3,24.3 
'050848',1990,2,0.62,44.5,33,21.5 
'050848',1990,3,4.02,49.7,38.8,27.8 
'050848',1990,4,2.16,59.5,47,34.5 
'050848',1990,5,1.73,67.9,53.8,39.7 
'050848',1990,6,0.39,85.4,69.2,52.9 
'050848',1990,7,4.23,80.8,68,55.1 
'050848',1990,8,1.13,82,68,54 
'050848',1990,9,1.84,76.7,63.7,50.6 
'050848',1990,10,0.96,67.7,53.2,38.6 
'050848',1990,11,1.6,56.8,44,31.2 
'050848',1990,12,0.75,39.6,26.3,13 
'050848',1991,1,1.05,41.4,28.9,16.3 
'050848',1991,2,0.15,52.3,39.9,27.5 
'050848',1991,3,0.43,54.1,41.8,29.4 
'050848',1991,4,2.41,58.8,46.8,34.7 
'050848',1991,5,2.9,70.6,57.4,44.1 
'050848',1991,6,3.59,78.9,65.8,52.6 
'050848',1991,7,3.11,83.2,69.9,56.5 
'050848',1991,8,2.08,81.6,68.5,55.3 
'050848',1991,9,1.21,74.5,60.6,46.7 
'050848',1991,10,0.93,65.6,51.3,37 
'050848',1991,11,3.3,46.8,35.9,25 
'050848',1991,12,0.01,46.1,34.3,22.5 
'050848',1992,1,0.67,47.3,34.5,21.7 
'050848',1992,2,0,51.3,39.6,27.8 
'050848',1992,3,5.17,53.7,42.3,30.8 
'050848',1992,4,0.46,67,53.3,39.5 
'050848',1992,5,1.7,72,58.2,44.4 
'050848',1992,6,0.96,75.4,62.1,48.8 
'050848',1992,7,1.13,82.2,67.7,53.1 
'050848',1992,8,3.08,79.2,65.6,51.9 
'050848',1992,9,0.02,78.2,63.4,48.5 
'050848',1992,10,0.79,67.6,53.2,38.8 
'050848',1992,11,2.56,44.3,32.9,21.4 
'050848',1992,12,0.84,40.5,28.4,16.2 
'050848',1993,1,0.25,38.1,27.3,16.4 
'050848',1993,2,0.9,40,29.6,19.1 
'050848',1993,3,2.15,52.9,41.3,29.7 
'050848',1993,4,2.56,59.1,46.6,34 
'050848',1993,5,1.73,69.5,56.7,43.8 
'050848',1993,6,3.38,78.3,63.7,49.1 
'050848',1993,7,1.4,83.5,68.8,54.1 
'050848',1993,8,0.94,79.5,67,54.4 
'050848',1993,9,3.32,72.4,57.7,43 
'050848',1993,10,2.42,60.8,47.8,34.8 
'050848',1993,11,2.17,47.1,34.5,21.8 
'050848',1993,12,0.55,46.2,34.6,22.9 
'050848',1994,1,0.86,46.4,34.4,22.4 
'050848',1994,2,1.37,44.3,31.2,18.1 
'050848',1994,3,1.61,56.5,42.8,29.1 
'050848',1994,4,3.46,60.4,46.6,32.8 
'050848',1994,5,1.35,76,60,43.9 
'050848',1994,6,0.93,85.8,69.2,52.5 
'050848',1994,7,0.35,85.5,70.5,55.5 
'050848',1994,8,2.56,84.2,70.1,56 
'050848',1994,9,0.54,78.5,63.9,49.3 
'050848',1994,10,1.02,62.2,49.7,37.2 
'050848',1994,11,2.25,46.6,35.4,24.2 
'050848',1994,12,0.49,47.6,35.1,22.6 
'050848',1995,1,0.64,46,33.5,20.9 
'050848',1995,2,1.53,50.8,37.3,23.7 
'050848',1995,3,1.21,54.2,41.1,28 
'050848',1995,4,4.95,56.1,44.1,32.1 
'050848',1995,5,9.59,61.4,50.1,38.7 
'050848',1995,6,4.03,75.1,61.6,48 
'050848',1995,7,0.72,85.2,69.9,54.5 
'050848',1995,8,1.45,89,73.2,57.4 
'050848',1995,9,2.96,72.5,59.4,46.2 
'050848',1995,10,0.59,65.8,50.7,35.5 
'050848',1995,11,1.51,56.8,43.8,30.7 
'050848',1995,12,0.25,47.5,35.3,23 
'050848',1996,1,2.19,41.9,28.7,15.4 
'050848',1996,2,0.29,50.1,36.6,23.1 
'050848',1996,3,2.16,50,36.9,23.8 
'050848',1996,4,1.49,63,49.4,35.8 
'050848',1996,5,4.63,72.4,58,43.6 
'050848',1996,6,2.77,81,66.1,51.2 
'050848',1996,7,1.96,84.6,70.8,57 
'050848',1996,8,0.63,84.4,68.8,53.1 
'050848',1996,9,3.48,74.2,59.7,45.2 
'050848',1996,10,0.28,65.9,52.2,38.5 
'050848',1996,11,1.43,52.7,39.5,26.2 
'050848',1996,12,0.37,48.3,35.5,22.6 
'050848',1997,1,0.87,42.7,30.2,17.7 
'050848',1997,2,1.83,42.3,31.7,21 
'050848',1997,3,0.91,59.7,44.5,29.3 
'050848',1997,4,5.77,54.4,41.8,29.2 
'050848',1997,5,2.19,70.5,56.6,42.6 
'050848',1997,6,3.69,79.3,65.7,52 
'050848',1997,7,1.14,85.2,70.8,56.3 
'050848',1997,8,5.27,80.7,68,55.2 
'050848',1997,9,1.92,75.6,63,50.3 
'050848',1997,10,2.7,65.7,51.9,38 
'050848',1997,11,1.52,48.6,36.8,24.9 
'050848',1997,12,0.68,43.5,32.9,22.2 
'050848',1998,1,1.07,47.2,35.1,23 
'050848',1998,2,0.23,46.5,35,23.5 
'050848',1998,3,3.41,50.3,37.3,24.2 
'050848',1998,4,4.56,57.2,45.1,33 
'050848',1998,5,1.82,72.6,57.7,42.7 
'050848',1998,6,1.85,76.1,61.7,47.2 
'050848',1998,7,4.02,85.5,72,58.4 
'050848',1998,8,0.97,83.7,69.8,55.8 
'050848',1998,9,0.66,80.4,65.6,50.8 
'050848',1998,10,1.12,61.4,49.2,36.9 
'050848',1998,11,0.99,55.4,43.4,31.3 
'050848',1998,12,0.7,43.7,31.4,19.1 
'050848',1999,1,0.78,47.5,36.3,25 
